7-Eleven, /7-eleven-ottawa
A&W, /a-and-w-tecumseh
Church's Chicken, /churchs-chicken-windsor
McDonald's, /mcdonalds-2780-tecumseh-road-east
MJ's Pizza and Wings, /mj-pizza-and-wings
On the Run, /on-the-run-jefferson-boulevard
Petro-Canada, /petro-canada-tecumseh-road-west
Quiznos, /quiznos-1915-front
Shawarma Hot Spot Pita's & Gyro's, /shawarma-hot-spot-pitas-and-gyros
Shawarma Kingdom, /shawarma-kingdom
Shawarma Queen, /shawarma-queen-university-avenue-west
Shell, /shell-tecumseh-rd
The Original Pizza Plus, /pizza-plus-felix-avenue
Yasir's Gyro Pita, /yasirs-gyro-pita-wyandotte-street
2 Claw Burritos, /2-claw-burritos
7 Spices - More than Just Shawarma, /7-spices-restaurant
Ace Convenience, /ace-convenience
Aji Sushi, /aji-sushi-wyandotte-street-west
Ajisen Ramen, /ajisen-ramen-dougall-ave
Al-Sabeel, /al-sabeel
Alazar, /alazar
Aleppo House, /aleppo-house
Angelos Pizzeria, /angelos-pizzeria
Applebee's, /applebees-division
Arby's, /arbys-tecumseh-road-east
Armando's Pizza, /armando's-pizza-talbot-st-n
Armando's Pizza - Lasalle, /armandos-pizzeria
Armandos Pizza, /armandos-pizza-13153
Athidhi Indian Restaurant, /athidhi-indian-restaurant
AutoCity Hamburgers & Poutine, /autocity-hamburgers-poutine-256-ouellette-avenue
Bacchus Ristorante, /bacchus-ristorante-erie-street-east
Balista, /balista-wyandotte
Barbar Bakery and Pizzeria, /barbar-bakery-and-pizzeria
Bashas Shawarma, /bashas-shawarma
Baskin Robbins, /baskin-robbins-dougall
Best Price Corner Store, /best-price-corner-store
Bibim To Go, /bibim-to-go
Big Time Eats and Entertainment, /big-time-eats-and-entertainment
Bird Dawgs, /bird-dawgs-howard
Biryani & Grill, /biryani-and-grill
Bistro at the River, /bistro-at-the-river-riverside
Blue Sky Garden Restaurant Inc., /blue-sky-garden-restaurant-inc
Bobby Burrito, /bobby-burrito-3580-tecumseh-road-east
Booster Juice, /booster-juice-tecumseh-road-east
Boston Pizza, /boston-pizza-amy-croft-drive
Bubbles & Cream, /bubbles-&-cream
Bubi's Awesome Eats, /bubis-awesome-eats
Buffalo Wild Wings, /buffalo-wild-wings-howard-avenue
Buffalo Wings and Things, /buffalo-wings-and-things
Bull's Eye Pizza, /bulls-eye-pizza
Bull's Eye Pizza Windsor South, /bulls-eye-pizza-windsor-south
Burger King, /burger-king-tecumseh-road-east
Burgers R Us, /burgers-r-us
Burrito Bueno, /burrito-bueno-6082
Burrito Guyz, /burrito-guyz-tecumseh-road
Butter Chicken Roti, /butter-chicken-roti-tecumseh
California BBQ Chicken & Kabab, /california-bbq-chicken-and-kabab
Campbell Pizza, /campbell-pizza-college-avenue
Candies Convenience and Cards, /candies-convenience-and-cards
Capitano, /capitano-erie-street
Capri Pizzeria, /capri-pizzeria
Caribbean Island Spice, /caribbean-island-spice
Central Shawarma, /central-shawarma-3008-tecumseh-road-east
Chat Express, /chat-express
Chatime, /chatime-division-road
Cheecho's Sandwich Shop, /cheechos-sandwich-shop
Chuck's Roadhouse, /chucks-roadhouse-tecumseh-road-east
Ciao Caffe, /ciao-caffe-4974-tecumseh-road-east
Cineplex Cinemas, /cineplex-howard-avenue
Cinnabon, /cinnabon-howard-avenue
Classico Grill, /classico-grill-wyandotte
Copper Branch, /copper-branch-tecumseh-rd-e
Cora Breakfast & Lunch, /cora-breakfast-and-lunch-walker
Cramdon's Tap and Eatery, /cramdons-tap-and-eatery
Culture Crust, /culture-crust
Cultures, /Cultures-3100-howard-avenue
Cup Or Cone, /cup-on-cone-howard-ave
Daawat, /daawat-university-avenue-west
Dairy Queen, /dairy-queen-tecumseh-road-east
Dan Dan Asian Diner, /dan-dan-asian-diner-walker-road
DaVinci's Pizza, /davincis-pizza
Dhesi Swaad, /dhesi-swaad
Diva's Delite Caribbean and Canadian Cuisine, /divas-delite-caribbean-and-canadian-cuisine
Dragons Inn, /dragons-inn
Dumpling Time, /dumpling-time
East Side Mario's, /east-side-marios-tecumseh-rd-e
East Side Shawarma, /east-side-shawarma-tecumseh-road-east
Eastern Flavours, /eastern-flavours
Eastwood's Grill N Lounge, /eastwoods-grill-n-lounge
Eggolicious, /eggolicious-dougall
El Dorado Tacos, /el-dorado-tacos
Elmayor Restaurant, /elmayor-restaurant
En Root Cafe + Tap, /the-decision-tree-restaurant-ltd-tecumseh-road-east
Erie St GastroPub, /erie-st-gastropub
Essex Shawarma, /essex-shawarma
Ettas Greeklish Eatery, /ettas-greeklish-eatery
Farouj King, /farouj-king
Fat Bastard Burrito, /fat-bastard-burrito-tecumseh-rd-w
Fattoush Express, /fattoush-express-huron-church-rd
Feta & Olives, /feta-and-olives-howard-avenue
Fire Oven Pizza, /fire-oven-pizza-howard
Firehouse Subs, /fire-house-subs-3065-howard-avenue
Fish is Our Dish, /fish-is-our-dish
Five Guys Burgers & Fries, /five-guys-division-drive
Flying Tiger, /flying-tiger
Fork & Knife, /fork-and-knife
Franco's Restaurant, /francos-restaurant-1545
Frank Brewing Company, /frank-brewing-company-tecumseh-road-east
Frankie's Nashville Hot Chicken, /frankies-chicken-walker-road
Freshii, /freshii-manning-road
Frydays Authentic Fish & Chips, /frydays-authentic-fish-and-chips
Fryyguyys, /fryyguyys-3202
Fusion Pasta & Bowl, /fusion-pasta-and-bowl-wyandotte-street
Generations Diner, /generations-diner
Genki Sushi Noodle, /genki-sushi-noodle
Gilligan's, /gilligans-1270-walker-road
Gino's Pizza, /ginos-pizza-county-road
Goconvenience, /goconvenience
Green Nest, /green-nest
Guac Mexi Grill, /guac-mexi-grill-amy-croft-dr
Gyros & Delights, /gyros-and-delights
Gyros & More, /gyros-and-more-malden
Hakka Khazana, /hakka-khazana-wyandotte-street-west
Hamoudi's Shawarma, /hamoudis-shawarma-dougall
Hamoudi's Shawarma Lakeshore, /hamoudis-shawarma-lakeshore
Harbour House Waterfront Eatery, /harbour-house-waterfront-eatery-9550-riverside-drive-east
Harvey's, /harveys-wyandott
Healthy Fusions, /healthy-fusions
Healthy Mama, /healthy-mama-152-lesperance-road
Hi-Ho Classic Diner, /hi-ho-diner
Hikari Japanese Restaurant, /hikari-japanese-restaurant
Himchuli Authentic Asian Cuisine INC, /himchuli-authentic-asian-cuisine
HomeSlice Pizzeria, /homeslice-pizzeria-erie-street-east
Honey-Bee Ham Co., /honey-bee-ham-co
House of India, /house-of-india
Howard Grill and Pancake House, /howard-grill-and-pancake-house-howard-avenue
HT Grill and Chill, /ht-grill-and-chill
Hungry Wolf Express, /hungry-wolf-express-amy-croft-drive
Hurricane Crepe, /hurricane-crepe
Hurricanes Pub & Grill, /hurrincaes-pub-and-grill
Hurry Curry, /hurry-curry-howard-ave
Imagine Cinemas Lakeshore, /imagine-cinemas-
India 47, /india-47
India Palace, /india-palace-ottawa-street
India Paradise, /india-paradise-ottawa-street
Indo Can Variety & Grocers, /indo-can-variety-&-grocers
Island Cafe, /island-cafe-wyandotte-street-east
Italian Street Food, /italian-street-food
Janpath Indian Cuisine, /janpath-indian-cuisine
JJ Romas Pizzeria & Grill, /jj-romas-pizzeria-and-grill-front-road
John Max Sports & Wings, /john-max-sports-and-wings
Johnny Shotz, /johnny-shotz-13037-tecumseh-road-east
Johnsons Restaurant, /johnsons-restaurant
Jose's Bar and Grill, /joses-bar-and-grill
Kabobgy, /kabobgy-manning-rd
Kelseys, /kelseys-walker-road
Kernels Popcorn, /kernels-popcorn-windsor
KFC, /kfc-dougall-road
Kona, /kona-essex-county
Koryo Korean BBQ, /koryo-korean-bbq-howard
Kurley's AC, /kurleys-ac
L.A Town Grille, /la-town-grille
La Guardia Restaurant, /la-guardia-restaurant
La Pita, /la-pita
Lagos Grill, /lagos-grill
Lemon Grill, /lemon-grill
Little Caesars, /little-caesars-dougall-avenue
Lone Star Texas Grill, /lone-star-texas-grill-walker-road
M Chapter Board Game Cafe, /m-chapter-board-game-cafe
Macro Foods, /macro-foods-malden-road
Mama's Meat Shoppe, /mamas-meat-shop
ManchuWOK, /manchu-wok-devonshire-mall
Mancini's Italia Bakery, /mancinis-italia-bakery
Mandy plus Restaurant, /mandy-plus-restaurant
Marina Fish & Chicken, /marina-fish-and-chicken-
